
2025/08/16 (12:01:41) | ===> btop++ v.1.4.0
2025/08/16 (12:01:41) | WARNING: Failed to join _runner thread on exit!

2025/09/08 (11:14:36) | ===> btop++ v.1.4.0
2025/09/08 (11:14:36) | WARNING: Failed to join _runner thread on exit!

2025/09/08 (11:17:18) | ===> btop++ v.1.4.0
2025/09/08 (11:17:18) | WARNING: Failed to join _runner thread on exit!

2025/09/08 (11:24:56) | ===> btop++ v.1.4.0
2025/09/08 (11:24:56) | WARNING: Failed to join _runner thread on exit!

2025/09/08 (11:33:49) | ===> btop++ v.1.4.0
2025/09/08 (11:33:49) | WARNING: Failed to join _runner thread on exit!

2025/09/08 (11:42:09) | ===> btop++ v.1.4.0
2025/09/08 (11:42:09) | WARNING: Failed to join _runner thread on exit!

2025/09/08 (11:42:34) | ===> btop++ v.1.4.0
2025/09/08 (11:42:34) | WARNING: Failed to join _runner thread on exit!

2025/09/08 (11:42:45) | ===> btop++ v.1.4.0
2025/09/08 (11:42:45) | WARNING: Failed to join _runner thread on exit!
